(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 11>python .\a3c_data_parallelism.py --cuda -n final
442858: done 451 games, mean reward -20.320, speed 587.89 f/s
443238: done 452 games, mean reward -20.310, speed 117.52 f/s
445005: done 453 games, mean reward -20.310, speed 113.87 f/s
449148: done 454 games, mean reward -20.310, speed 112.36 f/s
449893: done 455 games, mean reward -20.330, speed 103.09 f/s
450310: done 456 games, mean reward -20.330, speed 90.02 f/s
452357: done 457 games, mean reward -20.340, speed 109.93 f/s
452615: done 458 games, mean reward -20.340, speed 110.11 f/s
453304: done 459 games, mean reward -20.330, speed 116.68 f/s
453382: done 460 games, mean reward -20.350, speed 69.35 f/s
455492: done 461 games, mean reward -20.340, speed 112.09 f/s
456704: done 462 games, mean reward -20.310, speed 104.42 f/s
456947: done 463 games, mean reward -20.300, speed 180.88 f/s
457605: done 464 games, mean reward -20.310, speed 95.95 f/s
458098: done 465 games, mean reward -20.320, speed 134.30 f/s
458314: done 466 games, mean reward -20.320, speed 94.71 f/s
458600: done 467 games, mean reward -20.320, speed 119.66 f/s
459650: done 468 games, mean reward -20.290, speed 100.57 f/s
459654: done 469 games, mean reward -20.280, speed 4.00 f/s
